miRNA name	H1	H2	H3	H4	H5	H6	H7	H8	H9	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	S1	S2	S3	S4	S5	S6	S7	S8	S9	HC	LN	SLE
hsa-miR-32-5p	457.395	761.035	124.917	63.488	99.8868	0	124.975	81.2653	0	252.2227	0	0	219.9529	590.9916	0	121.4812	0	247.3586	0	87.9585	0	0	59.7593	21.2698	32.1631	61.6067	163.1321	0	190.329122	143.2007	47.321056
hsa-miR-3200-3p	0	0	17.0341	63.488	33.2956	0	49.99	20.3163	0	0	0	353.6693	0	28.1425	0	33.1312	49.4027	0	0	0	189.0502	413.337	35.8556	148.8887	32.1631	0	0	0	20.458222	46.43457	91.032733
hsa-miR-3200-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-3201	0	0	0	0	0	0	12.4975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	1.388611	0	1.327989
hsa-miR-320a-3p	80.7168	0	164.6633	95.232	99.8868	106.889	137.4725	182.8469	141.0039	378.3341	0	0	251.3747	365.8519	44.7027	276.0936	326.058	247.3586	159.5914	87.9585	226.8603	413.337	71.7111	425.3962	176.8972	369.6402	54.3774	0	112.079022	204.9365	202.908656
hsa-miR-320a-5p	0	0	11.3561	95.232	0	0	0	30.4745	0	0	0	0	0	28.1425	0	0	0	0	0	0	0	0	0	0	32.1631	0	0	0	15.229178	2.81425	3.573678
hsa-miR-320b	26.9056	69.185	107.8828	63.488	55.4927	0	99.98	71.1071	141.0039	315.2784	0	0	157.1092	196.9972	44.7027	231.9186	177.8498	176.6847	159.5914	87.9585	151.2402	0	71.7111	212.6981	80.4078	123.2134	108.7548	0	70.560567	146.0132	92.8871
hsa-miR-320c	0	0	17.0341	0	0	0	0	10.1582	0	63.0557	0	0	0	28.1425	0	22.0875	29.6416	35.3369	0	0	0	0	35.8556	21.2698	0	0	0	0	3.021367	17.82642	6.347267
hsa-miR-320d	0	0	0	0	0	0	0	0	0	0	0	0	0	42.2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22137	0
hsa-miR-320e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-323a-3p	0	0	0	0	0	160.3335	0	20.3163	0	0	0	0	0	0	0	0	29.6416	0	0	0	0	0	23.9037	0	0	0	0	0	20.0722	2.96416	2.655967
hsa-miR-323b-3p	0	0	0	0	0	0	24.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.777222	0	0
hsa-miR-324-3p	269.0559	691.85	244.1559	539.6483	332.956	427.556	562.3875	345.3775	564.0158	378.3341	0	353.6693	377.0621	239.2109	357.6218	408.6185	345.819	600.7279	0	791.6264	226.8603	275.558	525.8817	467.9358	804.0783	431.2469	108.7548	173.9584	441.889211	306.10636	422.877844
hsa-miR-324-5p	376.6782	415.11	374.7509	349.1842	288.5619	1443.0014	649.87	345.3775	352.5099	1135.0022	0	884.1733	1351.139	619.1341	402.3245	695.7559	661.9965	1060.1081	159.5914	615.7094	567.1506	688.895	597.5929	531.7452	916.6492	1170.5274	543.7738	434.8961	510.560444	696.9225	674.1044
hsa-miR-326	53.8112	345.925	28.3902	0	77.6897	374.1115	137.4725	111.7398	0	189.167	0	0	0	42.2137	0	77.3062	39.5222	0	159.5914	0	113.4301	0	95.6149	42.5396	48.2447	0	271.8869	0	125.459989	50.78005	63.524022
hsa-miR-328-3p	538.1118	1245.33	670.0091	1206.2726	887.8826	855.112	1162.2675	1249.454	493.5138	630.5568	0	884.1733	1162.608	984.986	804.6491	949.762	424.8634	636.0649	797.9572	87.9585	1020.8711	826.674	1027.8598	935.8715	1431.2593	616.067	978.7928	1913.5427	923.105933	727.56207	982.099633
hsa-miR-328-5p	0	0	0	63.488	0	0	0	10.1582	0	0	0	0	0	0	0	0	0	35.3369	0	0	0	0	0	63.8094	0	0	54.3774	0	8.182911	3.53369	13.131867
hsa-miR-330-3p	26.9056	0	107.8828	63.488	99.8868	267.2225	74.985	172.6888	0	630.5568	0	0	94.2655	98.4986	0	77.3062	79.0444	141.3478	0	0	37.81	0	83.663	148.8887	64.3263	0	0	0	90.339944	112.10193	37.187556
hsa-miR-330-5p	0	0	0	0	11.0985	0	0	0	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	0	0	0	16.0816	0	0	0	1.233167	0.98805	1.786844
hsa-miR-331-3p	1183.8459	1867.995	1788.5837	1745.9209	1686.977	2939.4474	1774.6451	1787.8366	1057.5296	2017.7817	0	707.3386	1162.608	1998.1145	2011.6227	2275.0113	2035.3921	1837.5208	1436.323	1055.5018	2873.5632	2617.801	3250.9054	2020.6317	2910.7634	1540.1676	2283.8499	869.7921	1759.197911	1548.17127	2158.108456
hsa-miR-331-5p	0	0	28.3902	31.744	0	0	12.4975	30.4745	0	252.2227	0	0	31.4218	14.0712	0	0	59.2833	176.6847	0	0	0	0	11.9519	0	0	0	0	0	11.456244	53.36837	1.327989
hsa-miR-335-3p	80.7168	138.37	34.0683	158.7201	55.4927	0	49.99	91.4235	141.0039	0	0	0	0	0	0	33.1312	49.4027	0	0	0	75.6201	0	83.663	21.2698	32.1631	0	54.3774	0	83.309478	8.25339	29.677044
hsa-miR-335-5p	1076.2235	691.85	1987.3153	1047.5525	554.9266	374.1115	749.85	1574.5152	775.5217	1324.1692	0	530.504	534.1712	2715.7471	1877.5145	750.9746	1551.2454	1519.4883	957.5487	263.8755	718.3908	688.895	1900.3454	872.0621	273.3866	184.8201	1359.4345	608.8545	981.318478	1176.1363	763.3405
hsa-miR-337-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.9037	0	0	0	0	0	0	0	2.655967
